id,name,brand,category,model,size,condition,cost,market_price,stock,url,market_price_source,market_fetched_at
HDO-00706,NEW BALANCE M990 V6,ニューバランス,スニーカー,M990GL6,27.5,A,16990,32000,1,https://example.invalid/hdo/706,,
HDO-00707,NEW BALANCE M990 V6,ニューバランス,スニーカー,M990GL6,27.5,B,21950,32000,1,https://example.invalid/hdo/707,スニダン直近取引,2026-08-19
HDO-00708,NEW BALANCE M990 V6,ニューバランス,スニーカー,M990GL6,27.5,C,26270,32000,1,https://example.invalid/hdo/708,,
HDO-00709,NEW BALANCE M990 V6,ニューバランス,スニーカー,M990GL6,27.5,ジャンク,29150,32000,1,https://example.invalid/hdo/709,,
HDO-00710,ADIDAS SAMBA OG,アディダス,スニーカー,B75806,26.5,S,13750,24000,1,https://example.invalid/hdo/710,スニダン直近取引,2026-08-19
HDO-00711,ADIDAS SAMBA OG,アディダス,スニーカー,B75806,26.5,A,14710,24000,1,https://example.invalid/hdo/711,,
HDO-00712,ADIDAS SAMBA OG,アディダス,スニーカー,B75806,26.5,B,12430,24000,1,https://example.invalid/hdo/712,,
HDO-00713,ADIDAS SAMBA OG,アディダス,スニーカー,B75806,26.5,C,16150,24000,1,https://example.invalid/hdo/713,スニダン直近取引,2026-08-19
HDO-00714,Panasonic ドラム式洗濯乾燥機,PANASONIC,生活家電,NA-VX800BL,,ジャンク,83030,98000,1,https://example.invalid/hdo/714,,
HDO-00715,Panasonic ドラム式洗濯乾燥機,PANASONIC,生活家電,NA-VX800BL,,S,91850,98000,1,https://example.invalid/hdo/715,,
HDO-00716,Panasonic ドラム式洗濯乾燥機,PANASONIC,生活家電,NA-VX800BL,,A,60000,98000,1,https://example.invalid/hdo/716,スニダン直近取引,2026-08-19
HDO-00717,Panasonic ドラム式洗濯乾燥機,PANASONIC,生活家電,NA-VX800BL,,B,63920,98000,1,https://example.invalid/hdo/717,,
HDO-00718,SONY ヘッドホン MDR-1AM2,ソニー,オーディオ,MDR-1AM2,,難あり中古(通電確認のみ),12500,22000,1,https://example.invalid/hdo/718,メルカリ 直近30日中央値,2026-08-19
HDO-00719,NIKE ダンクロー パンダ,ナイキ,スニーカー,DD1391-100,27.0,A,2000,26000,1,https://example.invalid/hdo/719,スニダン直近取引,2026-08-19
HDO-00720,ROLAND シンセサイザー JUNO-DS61,ROLAND,楽器,JUNO-DS61,,B,210000,62000,1,https://example.invalid/hdo/720,,
HDO-00721,中古 ノートパソコン 15型 #1,NEC,家電,PC-GN-1,,A,25950,34000,4,https://example.invalid/hdo/721,相場サイト 直近30日中央値,2026-08-19
HDO-00722,中古 電子レンジ #2,SHARP,生活家電,RE-SS-2,,B,9500,12500,1,https://example.invalid/hdo/722,,
HDO-00723,中古 掃除機 コードレス #3,DYSON,生活家電,V8-3,,C,19650,22000,1,https://example.invalid/hdo/723,,
HDO-00724,中古 炊飯器 5.5合 #4,ZOJIRUSHI,生活家電,NP-BK-4,,ジャンク,11950,16500,1,https://example.invalid/hdo/724,,
HDO-00725,中古 液晶モニタ 24型 #5,IODATA,家電,LCD-MF-5,,S,11100,13000,1,https://example.invalid/hdo/725,相場サイト 直近30日中央値,2026-08-19
HDO-00726,中古 コンパクトデジタルカメラ #6,CANON,カメラ,IXY650-6,,A,12080,15500,1,https://example.invalid/hdo/726,,
HDO-00727,中古 ミラーレス標準ズームレンズ #7,NIKON,カメラ,NIKKOR-Z-7,,B,23550,31000,1,https://example.invalid/hdo/727,,
HDO-00728,中古 ブルートゥーススピーカー #8,JBL,オーディオ,FLIP6-8,,C,10625,12500,1,https://example.invalid/hdo/728,,
HDO-00729,中古 腕時計 ソーラー電波 #9,CASIO,時計,OCW-S-9,,ジャンク,41750,50000,1,https://example.invalid/hdo/729,相場サイト 直近30日中央値,2026-08-19
HDO-00730,中古 ダウンジャケット #10,UNIQLO,アパレル,DWN-01-10,,S,5710,8700,4,https://example.invalid/hdo/730,,
HDO-00731,中古 ランニングシューズ #11,ASICS,スニーカー,GEL-KAYANO-11,,A,11670,13600,1,https://example.invalid/hdo/731,,
HDO-00732,中古 ビジネスバッグ 本革 #12,PORTER,バッグ,PT-BIZ-12,,B,18960,23500,1,https://example.invalid/hdo/732,,
HDO-00733,中古 二つ折り財布 #13,COACH,財布,CH-W2-13,,C,10205,15800,1,https://example.invalid/hdo/733,相場サイト 直近30日中央値,2026-08-19
HDO-00734,中古 アコースティックギター #14,YAMAHA,楽器,FG830-14,,ジャンク,29625,32500,1,https://example.invalid/hdo/734,,
HDO-00735,中古 キーボード 61鍵 #15,CASIO,楽器,CT-S300-15,,S,15550,21000,1,https://example.invalid/hdo/735,,
HDO-00736,中古 ゲームソフト 人気タイトル #16,NINTENDO,ゲームソフト,HAC-GEN-16,,A,6265,11300,1,https://example.invalid/hdo/736,,
HDO-00737,中古 家庭用ゲーム機 旧型 #17,SONY,ゲーム機,CUH-2200-17,,B,20250,25000,1,https://example.invalid/hdo/737,相場サイト 直近30日中央値,2026-08-19
HDO-00738,中古 タブレット 10型 #18,LENOVO,タブレット,TB-J606-18,,C,13950,16000,1,https://example.invalid/hdo/738,,
HDO-00739,中古 スマートウォッチ #19,GARMIN,時計,FR-255-19,,ジャンク,18350,24500,4,https://example.invalid/hdo/739,,
HDO-00740,中古 空気清浄機 #20,PANASONIC,生活家電,F-VXR-20,,S,17750,20000,1,https://example.invalid/hdo/740,,
HDO-00741,中古 コーヒーメーカー #21,DELONGHI,生活家電,ECAM-21,,A,25550,33500,1,https://example.invalid/hdo/741,相場サイト 直近30日中央値,2026-08-19
HDO-00742,中古 電動アシスト自転車 バッテリー #22,YAMAHA,その他,X0T-82-22,,B,19390,24000,1,https://example.invalid/hdo/742,,
HDO-00743,中古 プロジェクター 小型 #23,EPSON,家電,EF-12-23,,C,40075,43500,1,https://example.invalid/hdo/743,,
HDO-00744,中古 マイク コンデンサー #24,AUDIOTECHNICA,オーディオ,AT2020-24,,ジャンク,8190,11800,1,https://example.invalid/hdo/744,,
HDO-00745,中古 トートバッグ ナイロン #25,PRADA,バッグ,BR4001-25,,S,51475,55500,1,https://example.invalid/hdo/745,相場サイト 直近30日中央値,2026-08-19
HDO-00746,中古 ノートパソコン 15型 #26,NEC,家電,PC-GN-26,,A,31430,38000,1,https://example.invalid/hdo/746,,
HDO-00747,中古 電子レンジ #27,SHARP,生活家電,RE-SS-27,,B,11950,16500,1,https://example.invalid/hdo/747,,
HDO-00748,中古 掃除機 コードレス #28,DYSON,生活家電,V8-28,,C,23450,26000,4,https://example.invalid/hdo/748,,
HDO-00749,中古 炊飯器 5.5合 #29,ZOJIRUSHI,生活家電,NP-BK-29,,ジャンク,16380,20500,1,https://example.invalid/hdo/749,相場サイト 直近30日中央値,2026-08-19
HDO-00750,中古 液晶モニタ 24型 #30,IODATA,家電,LCD-MF-30,,S,12350,17000,1,https://example.invalid/hdo/750,,
HDO-00751,中古 コンパクトデジタルカメラ #31,CANON,カメラ,IXY650-31,,A,17275,19500,1,https://example.invalid/hdo/751,,
HDO-00752,中古 ミラーレス標準ズームレンズ #32,NIKON,カメラ,NIKKOR-Z-32,,B,28850,35000,1,https://example.invalid/hdo/752,,
HDO-00753,中古 ブルートゥーススピーカー #33,JBL,オーディオ,FLIP6-33,,C,10713,16500,1,https://example.invalid/hdo/753,相場サイト 直近30日中央値,2026-08-19
HDO-00754,中古 腕時計 ソーラー電波 #34,CASIO,時計,OCW-S-34,,ジャンク,50050,54000,1,https://example.invalid/hdo/754,,
HDO-00755,中古 ダウンジャケット #35,UNIQLO,アパレル,DWN-01-35,,S,2110,4200,1,https://example.invalid/hdo/755,,
HDO-00756,中古 ランニングシューズ #36,ASICS,スニーカー,GEL-KAYANO-36,,A,4802,9100,1,https://example.invalid/hdo/756,,
HDO-00757,中古 ビジネスバッグ 本革 #37,PORTER,バッグ,PT-BIZ-37,,B,15090,19000,4,https://example.invalid/hdo/757,相場サイト 直近30日中央値,2026-08-19
HDO-00758,中古 二つ折り財布 #38,COACH,財布,CH-W2-38,,C,9485,11300,1,https://example.invalid/hdo/758,,
HDO-00759,中古 アコースティックギター #39,YAMAHA,楽器,FG830-39,,ジャンク,21150,28000,1,https://example.invalid/hdo/759,,
HDO-00760,中古 キーボード 61鍵 #40,CASIO,楽器,CT-S300-40,,S,14425,16500,1,https://example.invalid/hdo/760,,
HDO-00761,中古 ゲームソフト 人気タイトル #41,NINTENDO,ゲームソフト,HAC-GEN-41,,A,4190,6800,1,https://example.invalid/hdo/761,相場サイト 直近30日中央値,2026-08-19
HDO-00762,中古 家庭用ゲーム機 旧型 #42,SONY,ゲーム機,CUH-2200-42,,B,16380,20500,1,https://example.invalid/hdo/762,,
HDO-00763,中古 タブレット 10型 #43,LENOVO,タブレット,TB-J606-43,,C,17750,20000,1,https://example.invalid/hdo/763,,
HDO-00764,中古 スマートウォッチ #44,GARMIN,時計,FR-255-44,,ジャンク,21550,28500,1,https://example.invalid/hdo/764,,
HDO-00765,中古 空気清浄機 #45,PANASONIC,生活家電,F-VXR-45,,S,21550,24000,1,https://example.invalid/hdo/765,相場サイト 直近30日中央値,2026-08-19
HDO-00766,中古 コーヒーメーカー #46,DELONGHI,生活家電,ECAM-46,,A,31000,37500,4,https://example.invalid/hdo/766,,
HDO-00767,中古 電動アシスト自転車 バッテリー #47,YAMAHA,その他,X0T-82-47,,B,21150,28000,1,https://example.invalid/hdo/767,,
HDO-00768,中古 プロジェクター 小型 #48,EPSON,家電,EF-12-48,,C,43875,47500,1,https://example.invalid/hdo/768,,
HDO-00769,中古 マイク コンデンサー #49,AUDIOTECHNICA,オーディオ,AT2020-49,,ジャンク,12338,15800,1,https://example.invalid/hdo/769,相場サイト 直近30日中央値,2026-08-19
HDO-00770,中古 トートバッグ ナイロン #50,PRADA,バッグ,BR4001-50,,S,46350,59500,1,https://example.invalid/hdo/770,,
HDO-00771,中古 ノートパソコン 15型 #51,NEC,家電,PC-GN-51,,A,38650,42000,1,https://example.invalid/hdo/771,,
HDO-00772,中古 電子レンジ #52,SHARP,生活家電,RE-SS-52,,B,9070,12000,1,https://example.invalid/hdo/772,,
HDO-00773,中古 掃除機 コードレス #53,DYSON,生活家電,V8-53,,C,14338,21500,1,https://example.invalid/hdo/773,相場サイト 直近30日中央値,2026-08-19
HDO-00774,中古 炊飯器 5.5合 #54,ZOJIRUSHI,生活家電,NP-BK-54,,ジャンク,13950,16000,1,https://example.invalid/hdo/774,,
HDO-00775,中古 液晶モニタ 24型 #55,IODATA,家電,LCD-MF-55,,S,8750,12500,4,https://example.invalid/hdo/775,,
HDO-00776,中古 コンパクトデジタルカメラ #56,CANON,カメラ,IXY650-56,,A,8725,15000,1,https://example.invalid/hdo/776,,
HDO-00777,中古 ミラーレス標準ズームレンズ #57,NIKON,カメラ,NIKKOR-Z-57,,B,24980,30500,1,https://example.invalid/hdo/777,相場サイト 直近30日中央値,2026-08-19
HDO-00778,中古 ブルートゥーススピーカー #58,JBL,オーディオ,FLIP6-58,,C,10150,12000,1,https://example.invalid/hdo/778,,
HDO-00779,中古 腕時計 ソーラー電波 #59,CASIO,時計,OCW-S-59,,ジャンク,38350,49500,1,https://example.invalid/hdo/779,,
HDO-00780,中古 ダウンジャケット #60,UNIQLO,アパレル,DWN-01-60,,S,6540,8200,1,https://example.invalid/hdo/780,,
HDO-00781,中古 ランニングシューズ #61,ASICS,スニーカー,GEL-KAYANO-61,,A,9230,13100,1,https://example.invalid/hdo/781,相場サイト 直近30日中央値,2026-08-19
HDO-00782,中古 ビジネスバッグ 本革 #62,PORTER,バッグ,PT-BIZ-62,,B,18530,23000,1,https://example.invalid/hdo/782,,
HDO-00783,中古 二つ折り財布 #63,COACH,財布,CH-W2-63,,C,13285,15300,1,https://example.invalid/hdo/783,,
HDO-00784,中古 アコースティックギター #64,YAMAHA,楽器,FG830-64,,ジャンク,24350,32000,4,https://example.invalid/hdo/784,,
HDO-00785,中古 キーボード 61鍵 #65,CASIO,楽器,CT-S300-65,,S,18225,20500,1,https://example.invalid/hdo/785,相場サイト 直近30日中央値,2026-08-19
HDO-00786,中古 ゲームソフト 人気タイトル #66,NINTENDO,ゲームソフト,HAC-GEN-66,,A,8038,10800,1,https://example.invalid/hdo/786,,
HDO-00787,中古 家庭用ゲーム機 旧型 #67,SONY,ゲーム機,CUH-2200-67,,B,18350,24500,1,https://example.invalid/hdo/787,,
HDO-00788,中古 タブレット 10型 #68,LENOVO,タブレット,TB-J606-68,,C,21550,24000,1,https://example.invalid/hdo/788,,
HDO-00789,中古 スマートウォッチ #69,GARMIN,時計,FR-255-69,,ジャンク,19390,24000,1,https://example.invalid/hdo/789,相場サイト 直近30日中央値,2026-08-19
HDO-00790,中古 空気清浄機 #70,PANASONIC,生活家電,F-VXR-70,,S,14350,19500,1,https://example.invalid/hdo/790,,
HDO-00791,中古 コーヒーメーカー #71,DELONGHI,生活家電,ECAM-71,,A,30100,33000,1,https://example.invalid/hdo/791,,
HDO-00792,中古 電動アシスト自転車 バッテリー #72,YAMAHA,その他,X0T-82-72,,B,18960,23500,1,https://example.invalid/hdo/792,,
HDO-00793,中古 プロジェクター 小型 #73,EPSON,家電,EF-12-73,,C,29925,43000,4,https://example.invalid/hdo/793,相場サイト 直近30日中央値,2026-08-19
HDO-00794,中古 マイク コンデンサー #74,AUDIOTECHNICA,オーディオ,AT2020-74,,ジャンク,9485,11300,1,https://example.invalid/hdo/794,,
HDO-00795,中古 トートバッグ ナイロン #75,PRADA,バッグ,BR4001-75,,S,42750,55000,1,https://example.invalid/hdo/795,,
HDO-00796,中古 ノートパソコン 15型 #76,NEC,家電,PC-GN-76,,A,23688,37500,1,https://example.invalid/hdo/796,,
HDO-00797,中古 電子レンジ #77,SHARP,生活家電,RE-SS-77,,B,12510,16000,1,https://example.invalid/hdo/797,相場サイト 直近30日中央値,2026-08-19
HDO-00798,中古 掃除機 コードレス #78,DYSON,生活家電,V8-78,,C,22975,25500,1,https://example.invalid/hdo/798,,
HDO-00799,中古 炊飯器 5.5合 #79,ZOJIRUSHI,生活家電,NP-BK-79,,ジャンク,14750,20000,1,https://example.invalid/hdo/799,,
HDO-00800,中古 液晶モニタ 24型 #80,IODATA,家電,LCD-MF-80,,S,14425,16500,1,https://example.invalid/hdo/800,,
HDO-00801,中古 コンパクトデジタルカメラ #81,CANON,カメラ,IXY650-81,,A,13950,19000,1,https://example.invalid/hdo/801,相場サイト 直近30日中央値,2026-08-19
HDO-00802,中古 ミラーレス標準ズームレンズ #82,NIKON,カメラ,NIKKOR-Z-82,,B,28420,34500,4,https://example.invalid/hdo/802,,
HDO-00803,中古 ブルートゥーススピーカー #83,JBL,オーディオ,FLIP6-83,,C,13950,16000,1,https://example.invalid/hdo/803,,
HDO-00804,中古 腕時計 ソーラー電波 #84,CASIO,時計,OCW-S-84,,ジャンク,41550,53500,1,https://example.invalid/hdo/804,,
HDO-00805,中古 ダウンジャケット #85,UNIQLO,アパレル,DWN-01-85,,S,10340,12200,1,https://example.invalid/hdo/805,相場サイト 直近30日中央値,2026-08-19
HDO-00806,中古 ランニングシューズ #86,ASICS,スニーカー,GEL-KAYANO-86,,A,6146,8600,1,https://example.invalid/hdo/806,,
HDO-00807,中古 ビジネスバッグ 本革 #87,PORTER,バッグ,PT-BIZ-87,,B,13550,18500,1,https://example.invalid/hdo/807,,
HDO-00808,中古 二つ折り財布 #88,COACH,財布,CH-W2-88,,C,9010,10800,1,https://example.invalid/hdo/808,,
HDO-00809,中古 アコースティックギター #89,YAMAHA,楽器,FG830-89,,ジャンク,22400,27500,1,https://example.invalid/hdo/809,相場サイト 直近30日中央値,2026-08-19
HDO-00810,中古 キーボード 61鍵 #90,CASIO,楽器,CT-S300-90,,S,11550,16000,1,https://example.invalid/hdo/810,,
HDO-00811,中古 ゲームソフト 人気タイトル #91,NINTENDO,ゲームソフト,HAC-GEN-91,,A,4735,6300,4,https://example.invalid/hdo/811,,
HDO-00812,中古 家庭用ゲーム機 旧型 #92,SONY,ゲーム機,CUH-2200-92,,B,15950,20000,1,https://example.invalid/hdo/812,,
HDO-00813,中古 タブレット 10型 #93,LENOVO,タブレット,TB-J606-93,,C,12888,19500,1,https://example.invalid/hdo/813,相場サイト 直近30日中央値,2026-08-19
HDO-00814,中古 スマートウォッチ #94,GARMIN,時計,FR-255-94,,ジャンク,25350,28000,1,https://example.invalid/hdo/814,,
HDO-00815,中古 空気清浄機 #95,PANASONIC,生活家電,F-VXR-95,,S,17550,23500,1,https://example.invalid/hdo/815,,
HDO-00816,中古 コーヒーメーカー #96,DELONGHI,生活家電,ECAM-96,,A,23355,37000,1,https://example.invalid/hdo/816,,
HDO-00817,中古 電動アシスト自転車 バッテリー #97,YAMAHA,その他,X0T-82-97,,B,22400,27500,1,https://example.invalid/hdo/817,相場サイト 直近30日中央値,2026-08-19
HDO-00818,中古 プロジェクター 小型 #98,EPSON,家電,EF-12-98,,C,43400,47000,1,https://example.invalid/hdo/818,,
HDO-00819,中古 マイク コンデンサー #99,AUDIOTECHNICA,オーディオ,AT2020-99,,ジャンク,10990,15300,1,https://example.invalid/hdo/819,,
HDO-00820,中古 トートバッグ ナイロン #100,PRADA,バッグ,BR4001-100,,S,54800,59000,4,https://example.invalid/hdo/820,,
HDO-00821,中古 ノートパソコン 15型 #101,NEC,家電,PC-GN-101,,A,31950,41500,1,https://example.invalid/hdo/821,相場サイト 直近30日中央値,2026-08-19
HDO-00822,中古 電子レンジ #102,SHARP,生活家電,RE-SS-102,,B,15950,20000,1,https://example.invalid/hdo/822,,
HDO-00823,中古 掃除機 コードレス #103,DYSON,生活家電,V8-103,,C,18700,21000,1,https://example.invalid/hdo/823,,
HDO-00824,中古 炊飯器 5.5合 #104,ZOJIRUSHI,生活家電,NP-BK-104,,ジャンク,11150,15500,1,https://example.invalid/hdo/824,,
HDO-00825,中古 液晶モニタ 24型 #105,IODATA,家電,LCD-MF-105,,S,10150,12000,1,https://example.invalid/hdo/825,相場サイト 直近30日中央値,2026-08-19
HDO-00826,中古 コンパクトデジタルカメラ #106,CANON,カメラ,IXY650-106,,A,11220,14500,1,https://example.invalid/hdo/826,,
HDO-00827,中古 ミラーレス標準ズームレンズ #107,NIKON,カメラ,NIKKOR-Z-107,,B,22750,30000,1,https://example.invalid/hdo/827,,
HDO-00828,中古 ブルートゥーススピーカー #108,JBL,オーディオ,FLIP6-108,,C,9675,11500,1,https://example.invalid/hdo/828,,
HDO-00829,中古 腕時計 ソーラー電波 #109,CASIO,時計,OCW-S-109,,ジャンク,40890,49000,4,https://example.invalid/hdo/829,相場サイト 直近30日中央値,2026-08-19
HDO-00830,中古 ダウンジャケット #110,UNIQLO,アパレル,DWN-01-110,,S,4910,7700,1,https://example.invalid/hdo/830,,
HDO-00831,中古 ランニングシューズ #111,ASICS,スニーカー,GEL-KAYANO-111,,A,10720,12600,1,https://example.invalid/hdo/831,,
HDO-00832,中古 ビジネスバッグ 本革 #112,PORTER,バッグ,PT-BIZ-112,,B,18100,22500,1,https://example.invalid/hdo/832,,
HDO-00833,中古 二つ折り財布 #113,COACH,財布,CH-W2-113,,C,9480,14800,1,https://example.invalid/hdo/833,相場サイト 直近30日中央値,2026-08-19
HDO-00834,中古 アコースティックギター #114,YAMAHA,楽器,FG830-114,,ジャンク,28675,31500,1,https://example.invalid/hdo/834,,
HDO-00835,中古 キーボード 61鍵 #115,CASIO,楽器,CT-S300-115,,S,14750,20000,1,https://example.invalid/hdo/835,,
HDO-00836,中古 ゲームソフト 人気タイトル #116,NINTENDO,ゲームソフト,HAC-GEN-116,,A,5600,10300,1,https://example.invalid/hdo/836,,
HDO-00837,中古 家庭用ゲーム機 旧型 #117,SONY,ゲーム機,CUH-2200-117,,B,19390,24000,1,https://example.invalid/hdo/837,相場サイト 直近30日中央値,2026-08-19
HDO-00838,中古 タブレット 10型 #118,LENOVO,タブレット,TB-J606-118,,C,21075,23500,4,https://example.invalid/hdo/838,,
HDO-00839,中古 スマートウォッチ #119,GARMIN,時計,FR-255-119,,ジャンク,24350,32000,1,https://example.invalid/hdo/839,,
HDO-00840,中古 空気清浄機 #120,PANASONIC,生活家電,F-VXR-120,,S,16800,19000,1,https://example.invalid/hdo/840,,
HDO-00841,中古 コーヒーメーカー #121,DELONGHI,生活家電,ECAM-121,,A,24750,32500,1,https://example.invalid/hdo/841,相場サイト 直近30日中央値,2026-08-19
HDO-00842,中古 電動アシスト自転車 バッテリー #122,YAMAHA,その他,X0T-82-122,,B,18530,23000,1,https://example.invalid/hdo/842,,
HDO-00843,中古 プロジェクター 小型 #123,EPSON,家電,EF-12-123,,C,39125,42500,1,https://example.invalid/hdo/843,,
HDO-00844,中古 マイク コンデンサー #124,AUDIOTECHNICA,オーディオ,AT2020-124,,ジャンク,7390,10800,1,https://example.invalid/hdo/844,,
HDO-00845,中古 トートバッグ ナイロン #125,PRADA,バッグ,BR4001-125,,S,50525,54500,1,https://example.invalid/hdo/845,相場サイト 直近30日中央値,2026-08-19
HDO-00846,中古 ノートパソコン 15型 #126,NEC,家電,PC-GN-126,,A,30570,37000,1,https://example.invalid/hdo/846,,
HDO-00847,中古 電子レンジ #127,SHARP,生活家電,RE-SS-127,,B,11150,15500,4,https://example.invalid/hdo/847,,
HDO-00848,中古 掃除機 コードレス #128,DYSON,生活家電,V8-128,,C,22500,25000,1,https://example.invalid/hdo/848,,
HDO-00849,中古 炊飯器 5.5合 #129,ZOJIRUSHI,生活家電,NP-BK-129,,ジャンク,15520,19500,1,https://example.invalid/hdo/849,相場サイト 直近30日中央値,2026-08-19
HDO-00850,中古 液晶モニタ 24型 #130,IODATA,家電,LCD-MF-130,,S,11550,16000,1,https://example.invalid/hdo/850,,
HDO-00851,中古 コンパクトデジタルカメラ #131,CANON,カメラ,IXY650-131,,A,16325,18500,1,https://example.invalid/hdo/851,,
HDO-00852,中古 ミラーレス標準ズームレンズ #132,NIKON,カメラ,NIKKOR-Z-132,,B,27990,34000,1,https://example.invalid/hdo/852,,
HDO-00853,中古 ブルートゥーススピーカー #133,JBL,オーディオ,FLIP6-133,,C,9988,15500,1,https://example.invalid/hdo/853,相場サイト 直近30日中央値,2026-08-19
HDO-00854,中古 腕時計 ソーラー電波 #134,CASIO,時計,OCW-S-134,,ジャンク,49100,53000,1,https://example.invalid/hdo/854,,
HDO-00855,中古 ダウンジャケット #135,UNIQLO,アパレル,DWN-01-135,,S,8110,11700,1,https://example.invalid/hdo/855,,
HDO-00856,中古 ランニングシューズ #136,ASICS,スニーカー,GEL-KAYANO-136,,A,9789,16600,4,https://example.invalid/hdo/856,,
HDO-00857,中古 ビジネスバッグ 本革 #137,PORTER,バッグ,PT-BIZ-137,,B,14230,18000,1,https://example.invalid/hdo/857,相場サイト 直近30日中央値,2026-08-19
HDO-00858,中古 二つ折り財布 #138,COACH,財布,CH-W2-138,,C,8535,10300,1,https://example.invalid/hdo/858,,
HDO-00859,中古 アコースティックギター #139,YAMAHA,楽器,FG830-139,,ジャンク,20350,27000,1,https://example.invalid/hdo/859,,
HDO-00860,中古 キーボード 61鍵 #140,CASIO,楽器,CT-S300-140,,S,13475,15500,1,https://example.invalid/hdo/860,,
HDO-00861,中古 ゲームソフト 人気タイトル #141,NINTENDO,ゲームソフト,HAC-GEN-141,,A,3390,5800,1,https://example.invalid/hdo/861,相場サイト 直近30日中央値,2026-08-19
HDO-00862,中古 家庭用ゲーム機 旧型 #142,SONY,ゲーム機,CUH-2200-142,,B,15520,19500,1,https://example.invalid/hdo/862,,
HDO-00863,中古 タブレット 10型 #143,LENOVO,タブレット,TB-J606-143,,C,16800,19000,1,https://example.invalid/hdo/863,,
HDO-00864,中古 スマートウォッチ #144,GARMIN,時計,FR-255-144,,ジャンク,20750,27500,1,https://example.invalid/hdo/864,,
HDO-00865,中古 空気清浄機 #145,PANASONIC,生活家電,F-VXR-145,,S,20600,23000,4,https://example.invalid/hdo/865,相場サイト 直近30日中央値,2026-08-19
HDO-00866,中古 コーヒーメーカー #146,DELONGHI,生活家電,ECAM-146,,A,30140,36500,1,https://example.invalid/hdo/866,,
HDO-00867,中古 電動アシスト自転車 バッテリー #147,YAMAHA,その他,X0T-82-147,,B,20350,27000,1,https://example.invalid/hdo/867,,
HDO-00868,中古 プロジェクター 小型 #148,EPSON,家電,EF-12-148,,C,42925,46500,1,https://example.invalid/hdo/868,,
HDO-00869,中古 マイク コンデンサー #149,AUDIOTECHNICA,オーディオ,AT2020-149,,ジャンク,11478,14800,1,https://example.invalid/hdo/869,相場サイト 直近30日中央値,2026-08-19
