市場,区分,ブランド,型番,JAN,価格,価格の種類,成約件数,出品件数,平均売却日数,価格ばらつき,取得日
AMAZON,SELL,SONY,CUH-2200-42,,22960,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,SONY,CUH-2200-42,,26650,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,SONY,CUH-2200-42,,21525,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,SONY,CUH-2200-42,,14760,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,SONY,CUH-2200-42,,13940,出品,,26,,0.14,2026-08-20
MERCARI,SELL,PRADA,BR4001-50,,59500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,PRADA,BR4001-50,,57120,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,PRADA,BR4001-50,,55335,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,PRADA,BR4001-50,,66640,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,PRADA,BR4001-50,,77350,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,PRADA,BR4001-50,,62475,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,PRADA,BR4001-50,,42840,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,PRADA,BR4001-50,,40460,出品,,26,,0.14,2026-08-20
MERCARI,SELL,JBL,FLIP6-58,,12000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,JBL,FLIP6-58,,11520,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,JBL,FLIP6-58,,11160,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,JBL,FLIP6-58,,13440,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,JBL,FLIP6-58,,15600,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,JBL,FLIP6-58,,12600,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,JBL,FLIP6-58,,8640,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,JBL,FLIP6-58,,8160,出品,,26,,0.14,2026-08-20
MERCARI,SELL,NINTENDO,HAC-GEN-66,,10800,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,NINTENDO,HAC-GEN-66,,10368,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,NINTENDO,HAC-GEN-66,,10044,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,NINTENDO,HAC-GEN-66,,12096,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,NINTENDO,HAC-GEN-66,,14040,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,NINTENDO,HAC-GEN-66,,11340,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,NINTENDO,HAC-GEN-66,,7776,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,NINTENDO,HAC-GEN-66,,7344,出品,,26,,0.14,2026-08-20
MERCARI,SELL,AUDIOTECHNICA,AT2020-74,,11300,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,AUDIOTECHNICA,AT2020-74,,10848,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,AUDIOTECHNICA,AT2020-74,,10509,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,AUDIOTECHNICA,AT2020-74,,12656,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,AUDIOTECHNICA,AT2020-74,,14690,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,AUDIOTECHNICA,AT2020-74,,11865,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,AUDIOTECHNICA,AT2020-74,,8136,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,AUDIOTECHNICA,AT2020-74,,7684,出品,,26,,0.14,2026-08-20
MERCARI,SELL,NIKON,NIKKOR-Z-82,,34500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,NIKON,NIKKOR-Z-82,,33120,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,NIKON,NIKKOR-Z-82,,32085,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,NIKON,NIKKOR-Z-82,,38640,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,NIKON,NIKKOR-Z-82,,44850,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,NIKON,NIKKOR-Z-82,,36225,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,NIKON,NIKKOR-Z-82,,24840,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,NIKON,NIKKOR-Z-82,,23460,出品,,26,,0.14,2026-08-20
MERCARI,SELL,CASIO,CT-S300-90,,16000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,CASIO,CT-S300-90,,15360,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,CASIO,CT-S300-90,,14880,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,CASIO,CT-S300-90,,17920,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,CASIO,CT-S300-90,,20800,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,CASIO,CT-S300-90,,16800,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,CASIO,CT-S300-90,,11520,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,CASIO,CT-S300-90,,10880,出品,,26,,0.14,2026-08-20
MERCARI,SELL,EPSON,EF-12-98,,47000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,EPSON,EF-12-98,,45120,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,EPSON,EF-12-98,,43710,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,EPSON,EF-12-98,,52640,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,EPSON,EF-12-98,,61100,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,EPSON,EF-12-98,,49350,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,EPSON,EF-12-98,,33840,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,EPSON,EF-12-98,,31960,出品,,26,,0.14,2026-08-20
MERCARI,SELL,CANON,IXY650-106,,14500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,CANON,IXY650-106,,13920,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,CANON,IXY650-106,,13485,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,CANON,IXY650-106,,16240,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,CANON,IXY650-106,,18850,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,CANON,IXY650-106,,15225,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,CANON,IXY650-106,,10440,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,CANON,IXY650-106,,9860,出品,,26,,0.14,2026-08-20
MERCARI,SELL,YAMAHA,FG830-114,,31500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,YAMAHA,FG830-114,,30240,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,YAMAHA,FG830-114,,29295,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,YAMAHA,FG830-114,,35280,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,YAMAHA,FG830-114,,40950,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,YAMAHA,FG830-114,,33075,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,YAMAHA,FG830-114,,22680,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,YAMAHA,FG830-114,,21420,出品,,26,,0.14,2026-08-20
MERCARI,SELL,YAMAHA,X0T-82-122,,23000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,YAMAHA,X0T-82-122,,22080,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,YAMAHA,X0T-82-122,,21390,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,YAMAHA,X0T-82-122,,25760,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,YAMAHA,X0T-82-122,,29900,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,YAMAHA,X0T-82-122,,24150,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,YAMAHA,X0T-82-122,,16560,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,YAMAHA,X0T-82-122,,15640,出品,,26,,0.14,2026-08-20
MERCARI,SELL,IODATA,LCD-MF-130,,16000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,IODATA,LCD-MF-130,,15360,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,IODATA,LCD-MF-130,,14880,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,IODATA,LCD-MF-130,,17920,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,IODATA,LCD-MF-130,,20800,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,IODATA,LCD-MF-130,,16800,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,IODATA,LCD-MF-130,,11520,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,IODATA,LCD-MF-130,,10880,出品,,26,,0.14,2026-08-20
MERCARI,SELL,COACH,CH-W2-138,,10300,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,COACH,CH-W2-138,,9888,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,COACH,CH-W2-138,,9579,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,COACH,CH-W2-138,,11536,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,COACH,CH-W2-138,,13390,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,COACH,CH-W2-138,,10815,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,COACH,CH-W2-138,,7416,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,COACH,CH-W2-138,,7004,出品,,26,,0.14,2026-08-20
MERCARI,SELL,DELONGHI,ECAM-146,,36500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,DELONGHI,ECAM-146,,35040,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,DELONGHI,ECAM-146,,33945,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,DELONGHI,ECAM-146,,40880,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,DELONGHI,ECAM-146,,47450,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,DELONGHI,ECAM-146,,38325,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,DELONGHI,ECAM-146,,26280,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,DELONGHI,ECAM-146,,24820,出品,,26,,0.14,2026-08-20
MERCARI,SELL,ZOJIRUSHI,NP-BK-154,,15000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,ZOJIRUSHI,NP-BK-154,,14400,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,ZOJIRUSHI,NP-BK-154,,13950,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,ZOJIRUSHI,NP-BK-154,,16800,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,ZOJIRUSHI,NP-BK-154,,19500,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,ZOJIRUSHI,NP-BK-154,,15750,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,ZOJIRUSHI,NP-BK-154,,10800,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,ZOJIRUSHI,NP-BK-154,,10200,出品,,26,,0.14,2026-08-20
MERCARI,SELL,PORTER,PT-BIZ-162,,22000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,PORTER,PT-BIZ-162,,21120,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,PORTER,PT-BIZ-162,,20460,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,PORTER,PT-BIZ-162,,24640,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,PORTER,PT-BIZ-162,,28600,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,PORTER,PT-BIZ-162,,23100,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,PORTER,PT-BIZ-162,,15840,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,PORTER,PT-BIZ-162,,14960,出品,,26,,0.14,2026-08-20
MERCARI,SELL,PANASONIC,F-VXR-170,,27000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,PANASONIC,F-VXR-170,,25920,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,PANASONIC,F-VXR-170,,25110,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,PANASONIC,F-VXR-170,,30240,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,PANASONIC,F-VXR-170,,35100,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,PANASONIC,F-VXR-170,,28350,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,PANASONIC,F-VXR-170,,19440,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,PANASONIC,F-VXR-170,,18360,出品,,26,,0.14,2026-08-20
MERCARI,SELL,DYSON,V8-178,,24500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,DYSON,V8-178,,23520,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,DYSON,V8-178,,22785,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,DYSON,V8-178,,27440,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,DYSON,V8-178,,31850,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,DYSON,V8-178,,25725,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,DYSON,V8-178,,17640,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,DYSON,V8-178,,16660,出品,,26,,0.14,2026-08-20
MERCARI,SELL,ASICS,GEL-KAYANO-186,,16100,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,ASICS,GEL-KAYANO-186,,15456,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,ASICS,GEL-KAYANO-186,,14973,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,ASICS,GEL-KAYANO-186,,18032,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,ASICS,GEL-KAYANO-186,,20930,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,ASICS,GEL-KAYANO-186,,16905,出品,,1,30,0.05,2026-08-20
SNKRDUNK,SELL,ASICS,GEL-KAYANO-186,,19642,成約,11,18,9,0.05,2026-08-20
MERCARI,BUY,ASICS,GEL-KAYANO-186,,11592,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,ASICS,GEL-KAYANO-186,,10948,出品,,26,,0.14,2026-08-20
SNKRDUNK,BUY,ASICS,GEL-KAYANO-186,,12880,出品,,18,,0.05,2026-08-20
MERCARI,SELL,GARMIN,FR-255-194,,27000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,GARMIN,FR-255-194,,25920,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,GARMIN,FR-255-194,,25110,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,GARMIN,FR-255-194,,30240,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,GARMIN,FR-255-194,,35100,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,GARMIN,FR-255-194,,28350,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,GARMIN,FR-255-194,,19440,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,GARMIN,FR-255-194,,18360,出品,,26,,0.14,2026-08-20
MERCARI,SELL,SHARP,RE-SS-202,,19000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,SHARP,RE-SS-202,,18240,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,SHARP,RE-SS-202,,17670,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,SHARP,RE-SS-202,,21280,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,SHARP,RE-SS-202,,24700,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,SHARP,RE-SS-202,,19950,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,SHARP,RE-SS-202,,13680,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,SHARP,RE-SS-202,,12920,出品,,26,,0.14,2026-08-20
MERCARI,SELL,UNIQLO,DWN-01-210,,6700,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,UNIQLO,DWN-01-210,,6432,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,UNIQLO,DWN-01-210,,6231,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,UNIQLO,DWN-01-210,,7504,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,UNIQLO,DWN-01-210,,8710,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,UNIQLO,DWN-01-210,,7035,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,UNIQLO,DWN-01-210,,4824,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,UNIQLO,DWN-01-210,,4556,出品,,26,,0.14,2026-08-20
MERCARI,SELL,LENOVO,TB-J606-218,,22500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,LENOVO,TB-J606-218,,21600,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,LENOVO,TB-J606-218,,20925,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,LENOVO,TB-J606-218,,25200,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,LENOVO,TB-J606-218,,29250,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,LENOVO,TB-J606-218,,23625,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,LENOVO,TB-J606-218,,16200,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,LENOVO,TB-J606-218,,15300,出品,,26,,0.14,2026-08-20
MERCARI,SELL,NEC,PC-GN-226,,36000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,NEC,PC-GN-226,,34560,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,NEC,PC-GN-226,,33480,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,NEC,PC-GN-226,,40320,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,NEC,PC-GN-226,,46800,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,NEC,PC-GN-226,,37800,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,NEC,PC-GN-226,,25920,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,NEC,PC-GN-226,,24480,出品,,26,,0.14,2026-08-20
MERCARI,SELL,CASIO,OCW-S-234,,52000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,CASIO,OCW-S-234,,49920,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,CASIO,OCW-S-234,,48360,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,CASIO,OCW-S-234,,58240,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,CASIO,OCW-S-234,,67600,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,CASIO,OCW-S-234,,54600,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,CASIO,OCW-S-234,,37440,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,CASIO,OCW-S-234,,35360,出品,,26,,0.14,2026-08-20
MERCARI,SELL,SONY,CUH-2200-242,,18500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,SONY,CUH-2200-242,,17760,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,SONY,CUH-2200-242,,17205,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,SONY,CUH-2200-242,,20720,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,SONY,CUH-2200-242,,24050,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,SONY,CUH-2200-242,,19425,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,SONY,CUH-2200-242,,13320,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,SONY,CUH-2200-242,,12580,出品,,26,,0.14,2026-08-20
MERCARI,SELL,PRADA,BR4001-250,,57500,成約,14,30,12,0.08,2026-08-20
