管理番号,商品名,ブランド,カテゴリ,型番,サイズ,カラー,ランク,仕入価格,相場,在庫,商品URL,相場出典,相場取得日
KMH-00012,エルメス ガーデンパーティ PM,エルメス,バッグ,GP-PM,,エトゥープ,Bランク,274250,380000,1,https://example.invalid/kmh/12,メルカリ売却済み中央値,2026-08-18
KMH-00013,プラダ サフィアーノ 二つ折り財布,プラダ,財布,1ML018,,ネイビー,ABランク,32350,42000,1,https://example.invalid/kmh/13,メルカリ売却済み中央値,2026-08-18
KMH-00014,プラダ サフィアーノ 二つ折り財布,プラダ,財布,1ML018,,ネイビー,Sランク,34870,42000,1,https://example.invalid/kmh/14,メルカリ売却済み中央値,2026-08-18
KMH-00015,プラダ サフィアーノ 二つ折り財布,プラダ,財布,1ML018,,ネイビー,Cランク,38650,42000,1,https://example.invalid/kmh/15,メルカリ売却済み中央値,2026-08-18
KMH-00016,ロレックス デイトジャスト 36 自動巻,ロレックス,時計,126234,,シルバー,Aランク,736250,1180000,1,https://example.invalid/kmh/16,メルカリ売却済み中央値,2026-06-20
KMH-00017,ロレックス デイトジャスト 36 自動巻,ロレックス,時計,126234,,シルバー,Bランク,671350,1180000,1,https://example.invalid/kmh/17,メルカリ売却済み中央値,2026-08-18
KMH-00018,ロレックス デイトジャスト 36 自動巻,ロレックス,時計,126234,,シルバー,ABランク,736250,1180000,1,https://example.invalid/kmh/18,メルカリ売却済み中央値,2026-08-18
KMH-00019,オメガ シーマスター アクアテラ,オメガ,時計,220.10.38,,ブルー,Sランク,317950,480000,1,https://example.invalid/kmh/19,メルカリ売却済み中央値,2026-08-18
KMH-00020,オメガ シーマスター アクアテラ,オメガ,時計,220.10.38,,ブルー,Cランク,346750,480000,1,https://example.invalid/kmh/20,メルカリ売却済み中央値,2026-08-18
KMH-00021,オメガ シーマスター アクアテラ,オメガ,時計,220.10.38,,ブルー,Aランク,382750,480000,1,https://example.invalid/kmh/21,メルカリ売却済み中央値,2026-06-20
KMH-00022,セイコー グランドセイコー クオーツ,セイコー,時計,SBGX261,,ホワイト,Bランク,179350,210000,1,https://example.invalid/kmh/22,メルカリ売却済み中央値,2026-08-18
KMH-00023,セイコー グランドセイコー クオーツ,セイコー,時計,SBGX261,,ホワイト,ABランク,198250,210000,1,https://example.invalid/kmh/23,メルカリ売却済み中央値,2026-08-18
KMH-00024,セイコー グランドセイコー クオーツ,セイコー,時計,SBGX261,,ホワイト,Sランク,130000,210000,1,https://example.invalid/kmh/24,メルカリ売却済み中央値,2026-08-18
KMH-00025,ルイヴィトン ダミエ ジッピーウォレット,ルイヴィトン,財布,N60015,,ブラウン,Cランク,34090,62000,1,https://example.invalid/kmh/25,メルカリ売却済み中央値,2026-08-18
KMH-00026,ルイヴィトン ダミエ ジッピーウォレット,ルイヴィトン,財布,N60015,,ブラウン,Aランク,37500,62000,1,https://example.invalid/kmh/26,メルカリ売却済み中央値,2026-06-20
KMH-00027,ルイヴィトン ダミエ ジッピーウォレット,ルイヴィトン,財布,N60015,,ブラウン,Bランク,39980,62000,1,https://example.invalid/kmh/27,メルカリ売却済み中央値,2026-08-18
KMH-00028,グッチ GGスプリーム ラウンドファスナー財布,グッチ,財布,456117,,ベージュ,ABランク,32100,46000,1,https://example.invalid/kmh/28,メルカリ売却済み中央値,2026-08-18
KMH-00029,グッチ GGスプリーム ラウンドファスナー財布,グッチ,財布,456117,,ベージュ,Sランク,35550,46000,1,https://example.invalid/kmh/29,メルカリ売却済み中央値,2026-08-18
KMH-00030,グッチ GGスプリーム ラウンドファスナー財布,グッチ,財布,456117,,ベージュ,Cランク,38310,46000,1,https://example.invalid/kmh/30,メルカリ売却済み中央値,2026-08-18
KMH-00031,シャネル ココマーク ピアス,シャネル,アクセサリー,A88429,,ゴールド,Aランク,82350,88000,1,https://example.invalid/kmh/31,メルカリ売却済み中央値,2026-06-20
KMH-00032,シャネル ココマーク ピアス,シャネル,アクセサリー,A88429,,ゴールド,Bランク,53750,88000,1,https://example.invalid/kmh/32,メルカリ売却済み中央値,2026-08-18
KMH-00033,シャネル ココマーク ピアス,シャネル,アクセサリー,A88429,,ゴールド,ABランク,48910,88000,1,https://example.invalid/kmh/33,メルカリ売却済み中央値,2026-08-18
KMH-00034,エルメス エールライン トートMM,エルメス,バッグ,HL-MM,,ブラック,Sランク,58750,96000,1,https://example.invalid/kmh/34,メルカリ売却済み中央値,2026-08-18
KMH-00035,エルメス エールライン トートMM,エルメス,バッグ,HL-MM,,ブラック,Cランク,62590,96000,1,https://example.invalid/kmh/35,メルカリ売却済み中央値,2026-08-18
KMH-00036,エルメス エールライン トートMM,エルメス,バッグ,HL-MM,,ブラック,Aランク,68350,96000,1,https://example.invalid/kmh/36,メルカリ売却済み中央値,2026-06-20
KMH-00037,ロレックス サブマリーナー デイト,ロレックス,時計,126610LN,,,Aランク,90000,1800000,1,https://example.invalid/kmh/37,相場サイト,2026-08-18
KMH-00038,グッチ ホースビット ローファー,グッチ,靴,406994,,,Bランク,152000,38000,1,https://example.invalid/kmh/38,相場サイト,2026-08-18
KMH-00039,ボッテガヴェネタ イントレチャート 長財布,ボッテガヴェネタ,財布,,,,Aランク,38000,,1,https://example.invalid/kmh/39,,
KMH-00040,カルティエ タンクフランセーズ SM,カルティエ,時計,W51008Q3,,,当社基準 特A,261250,420000,1,https://example.invalid/kmh/40,メルカリ売却済み中央値,2026-08-18
KMH-00041,ティファニー オープンハート ネックレス,ティファニー,アクセサリー,,,,Aランク,,24000,1,https://example.invalid/kmh/41,,
KMH-00042,エルメス ボリード31,エルメス,バッグ,,,,Bランク,295150,520000,0,https://example.invalid/kmh/42,メルカリ売却済み中央値,2026-08-18
KMH-00001,ルイヴィトン モノグラム スピーディ30 ハンドバッグ,ルイヴィトン,バッグ,M41526,,ブラウン,Aランク,54610,98000,1,https://example.invalid/kmh/1,メルカリ売却済み中央値,2026-06-20
KMH-DUP-0002,ルイヴィトン モノグラム スピーディ30 ハンドバッグ,ルイヴィトン,バッグ,M41526,,ブラウン,Aランク,54610,98000,1,https://example.invalid/kmh/1,メルカリ売却済み中央値,2026-06-20
KMH-00043,中古 ノートパソコン 15型 #1,NEC,家電,PC-GN-1,,,Aランク,25950,34000,4,https://example.invalid/kmh/43,相場サイト 直近30日中央値,2026-08-18
KMH-00044,中古 電子レンジ #2,SHARP,生活家電,RE-SS-2,,,Bランク,9500,12500,1,https://example.invalid/kmh/44,,
KMH-00045,中古 掃除機 コードレス #3,DYSON,生活家電,V8-3,,,Sランク,19650,22000,1,https://example.invalid/kmh/45,,
KMH-00046,中古 炊飯器 5.5合 #4,ZOJIRUSHI,生活家電,NP-BK-4,,,Cランク,11950,16500,1,https://example.invalid/kmh/46,,
KMH-00047,中古 液晶モニタ 24型 #5,IODATA,家電,LCD-MF-5,,,Aランク,11100,13000,1,https://example.invalid/kmh/47,相場サイト 直近30日中央値,2026-08-18
KMH-00048,中古 コンパクトデジタルカメラ #6,CANON,カメラ,IXY650-6,,,Bランク,12080,15500,1,https://example.invalid/kmh/48,,
KMH-00049,中古 ミラーレス標準ズームレンズ #7,NIKON,カメラ,NIKKOR-Z-7,,,Sランク,23550,31000,1,https://example.invalid/kmh/49,,
KMH-00050,中古 ブルートゥーススピーカー #8,JBL,オーディオ,FLIP6-8,,,Cランク,10625,12500,1,https://example.invalid/kmh/50,,
KMH-00051,中古 腕時計 ソーラー電波 #9,CASIO,時計,OCW-S-9,,,Aランク,41750,50000,1,https://example.invalid/kmh/51,相場サイト 直近30日中央値,2026-08-18
KMH-00052,中古 ダウンジャケット #10,UNIQLO,アパレル,DWN-01-10,,,Bランク,5710,8700,4,https://example.invalid/kmh/52,,
KMH-00053,中古 ランニングシューズ #11,ASICS,スニーカー,GEL-KAYANO-11,,,Sランク,11670,13600,1,https://example.invalid/kmh/53,,
KMH-00054,中古 ビジネスバッグ 本革 #12,PORTER,バッグ,PT-BIZ-12,,,Cランク,18960,23500,1,https://example.invalid/kmh/54,,
KMH-00055,中古 二つ折り財布 #13,COACH,財布,CH-W2-13,,,Aランク,10205,15800,1,https://example.invalid/kmh/55,相場サイト 直近30日中央値,2026-08-18
KMH-00056,中古 アコースティックギター #14,YAMAHA,楽器,FG830-14,,,Bランク,29625,32500,1,https://example.invalid/kmh/56,,
KMH-00057,中古 キーボード 61鍵 #15,CASIO,楽器,CT-S300-15,,,Sランク,15550,21000,1,https://example.invalid/kmh/57,,
KMH-00058,中古 ゲームソフト 人気タイトル #16,NINTENDO,ゲームソフト,HAC-GEN-16,,,Cランク,6265,11300,1,https://example.invalid/kmh/58,,
KMH-00059,中古 家庭用ゲーム機 旧型 #17,SONY,ゲーム機,CUH-2200-17,,,Aランク,20250,25000,1,https://example.invalid/kmh/59,相場サイト 直近30日中央値,2026-08-18
KMH-00060,中古 タブレット 10型 #18,LENOVO,タブレット,TB-J606-18,,,Bランク,13950,16000,1,https://example.invalid/kmh/60,,
KMH-00061,中古 スマートウォッチ #19,GARMIN,時計,FR-255-19,,,Sランク,18350,24500,4,https://example.invalid/kmh/61,,
KMH-00062,中古 空気清浄機 #20,PANASONIC,生活家電,F-VXR-20,,,Cランク,17750,20000,1,https://example.invalid/kmh/62,,
KMH-00063,中古 コーヒーメーカー #21,DELONGHI,生活家電,ECAM-21,,,Aランク,25550,33500,1,https://example.invalid/kmh/63,相場サイト 直近30日中央値,2026-08-18
KMH-00064,中古 電動アシスト自転車 バッテリー #22,YAMAHA,その他,X0T-82-22,,,Bランク,19390,24000,1,https://example.invalid/kmh/64,,
KMH-00065,中古 プロジェクター 小型 #23,EPSON,家電,EF-12-23,,,Sランク,40075,43500,1,https://example.invalid/kmh/65,,
KMH-00066,中古 マイク コンデンサー #24,AUDIOTECHNICA,オーディオ,AT2020-24,,,Cランク,8190,11800,1,https://example.invalid/kmh/66,,
KMH-00067,中古 トートバッグ ナイロン #25,PRADA,バッグ,BR4001-25,,,Aランク,51475,55500,1,https://example.invalid/kmh/67,相場サイト 直近30日中央値,2026-08-18
KMH-00068,中古 ノートパソコン 15型 #26,NEC,家電,PC-GN-26,,,Bランク,31430,38000,1,https://example.invalid/kmh/68,,
KMH-00069,中古 電子レンジ #27,SHARP,生活家電,RE-SS-27,,,Sランク,11950,16500,1,https://example.invalid/kmh/69,,
KMH-00070,中古 掃除機 コードレス #28,DYSON,生活家電,V8-28,,,Cランク,23450,26000,4,https://example.invalid/kmh/70,,
KMH-00071,中古 炊飯器 5.5合 #29,ZOJIRUSHI,生活家電,NP-BK-29,,,Aランク,16380,20500,1,https://example.invalid/kmh/71,相場サイト 直近30日中央値,2026-08-18
KMH-00072,中古 液晶モニタ 24型 #30,IODATA,家電,LCD-MF-30,,,Bランク,12350,17000,1,https://example.invalid/kmh/72,,
KMH-00073,中古 コンパクトデジタルカメラ #31,CANON,カメラ,IXY650-31,,,Sランク,17275,19500,1,https://example.invalid/kmh/73,,
KMH-00074,中古 ミラーレス標準ズームレンズ #32,NIKON,カメラ,NIKKOR-Z-32,,,Cランク,28850,35000,1,https://example.invalid/kmh/74,,
KMH-00075,中古 ブルートゥーススピーカー #33,JBL,オーディオ,FLIP6-33,,,Aランク,10713,16500,1,https://example.invalid/kmh/75,相場サイト 直近30日中央値,2026-08-18
KMH-00076,中古 腕時計 ソーラー電波 #34,CASIO,時計,OCW-S-34,,,Bランク,50050,54000,1,https://example.invalid/kmh/76,,
KMH-00077,中古 ダウンジャケット #35,UNIQLO,アパレル,DWN-01-35,,,Sランク,2110,4200,1,https://example.invalid/kmh/77,,
KMH-00078,中古 ランニングシューズ #36,ASICS,スニーカー,GEL-KAYANO-36,,,Cランク,4802,9100,1,https://example.invalid/kmh/78,,
KMH-00079,中古 ビジネスバッグ 本革 #37,PORTER,バッグ,PT-BIZ-37,,,Aランク,15090,19000,4,https://example.invalid/kmh/79,相場サイト 直近30日中央値,2026-08-18
KMH-00080,中古 二つ折り財布 #38,COACH,財布,CH-W2-38,,,Bランク,9485,11300,1,https://example.invalid/kmh/80,,
KMH-00081,中古 アコースティックギター #39,YAMAHA,楽器,FG830-39,,,Sランク,21150,28000,1,https://example.invalid/kmh/81,,
KMH-00082,中古 キーボード 61鍵 #40,CASIO,楽器,CT-S300-40,,,Cランク,14425,16500,1,https://example.invalid/kmh/82,,
KMH-00083,中古 ゲームソフト 人気タイトル #41,NINTENDO,ゲームソフト,HAC-GEN-41,,,Aランク,4190,6800,1,https://example.invalid/kmh/83,相場サイト 直近30日中央値,2026-08-18
KMH-00084,中古 家庭用ゲーム機 旧型 #42,SONY,ゲーム機,CUH-2200-42,,,Bランク,16380,20500,1,https://example.invalid/kmh/84,,
KMH-00085,中古 タブレット 10型 #43,LENOVO,タブレット,TB-J606-43,,,Sランク,17750,20000,1,https://example.invalid/kmh/85,,
KMH-00086,中古 スマートウォッチ #44,GARMIN,時計,FR-255-44,,,Cランク,21550,28500,1,https://example.invalid/kmh/86,,
KMH-00087,中古 空気清浄機 #45,PANASONIC,生活家電,F-VXR-45,,,Aランク,21550,24000,1,https://example.invalid/kmh/87,相場サイト 直近30日中央値,2026-08-18
KMH-00088,中古 コーヒーメーカー #46,DELONGHI,生活家電,ECAM-46,,,Bランク,31000,37500,4,https://example.invalid/kmh/88,,
KMH-00089,中古 電動アシスト自転車 バッテリー #47,YAMAHA,その他,X0T-82-47,,,Sランク,21150,28000,1,https://example.invalid/kmh/89,,
KMH-00090,中古 プロジェクター 小型 #48,EPSON,家電,EF-12-48,,,Cランク,43875,47500,1,https://example.invalid/kmh/90,,
KMH-00091,中古 マイク コンデンサー #49,AUDIOTECHNICA,オーディオ,AT2020-49,,,Aランク,12338,15800,1,https://example.invalid/kmh/91,相場サイト 直近30日中央値,2026-08-18
KMH-00092,中古 トートバッグ ナイロン #50,PRADA,バッグ,BR4001-50,,,Bランク,46350,59500,1,https://example.invalid/kmh/92,,
KMH-00093,中古 ノートパソコン 15型 #51,NEC,家電,PC-GN-51,,,Sランク,38650,42000,1,https://example.invalid/kmh/93,,
KMH-00094,中古 電子レンジ #52,SHARP,生活家電,RE-SS-52,,,Cランク,9070,12000,1,https://example.invalid/kmh/94,,
KMH-00095,中古 掃除機 コードレス #53,DYSON,生活家電,V8-53,,,Aランク,14338,21500,1,https://example.invalid/kmh/95,相場サイト 直近30日中央値,2026-08-18
KMH-00096,中古 炊飯器 5.5合 #54,ZOJIRUSHI,生活家電,NP-BK-54,,,Bランク,13950,16000,1,https://example.invalid/kmh/96,,
KMH-00097,中古 液晶モニタ 24型 #55,IODATA,家電,LCD-MF-55,,,Sランク,8750,12500,4,https://example.invalid/kmh/97,,
KMH-00098,中古 コンパクトデジタルカメラ #56,CANON,カメラ,IXY650-56,,,Cランク,8725,15000,1,https://example.invalid/kmh/98,,
KMH-00099,中古 ミラーレス標準ズームレンズ #57,NIKON,カメラ,NIKKOR-Z-57,,,Aランク,24980,30500,1,https://example.invalid/kmh/99,相場サイト 直近30日中央値,2026-08-18
KMH-00100,中古 ブルートゥーススピーカー #58,JBL,オーディオ,FLIP6-58,,,Bランク,10150,12000,1,https://example.invalid/kmh/100,,
KMH-00101,中古 腕時計 ソーラー電波 #59,CASIO,時計,OCW-S-59,,,Sランク,38350,49500,1,https://example.invalid/kmh/101,,
KMH-00102,中古 ダウンジャケット #60,UNIQLO,アパレル,DWN-01-60,,,Cランク,6540,8200,1,https://example.invalid/kmh/102,,
KMH-00103,中古 ランニングシューズ #61,ASICS,スニーカー,GEL-KAYANO-61,,,Aランク,9230,13100,1,https://example.invalid/kmh/103,相場サイト 直近30日中央値,2026-08-18
KMH-00104,中古 ビジネスバッグ 本革 #62,PORTER,バッグ,PT-BIZ-62,,,Bランク,18530,23000,1,https://example.invalid/kmh/104,,
KMH-00105,中古 二つ折り財布 #63,COACH,財布,CH-W2-63,,,Sランク,13285,15300,1,https://example.invalid/kmh/105,,
KMH-00106,中古 アコースティックギター #64,YAMAHA,楽器,FG830-64,,,Cランク,24350,32000,4,https://example.invalid/kmh/106,,
KMH-00107,中古 キーボード 61鍵 #65,CASIO,楽器,CT-S300-65,,,Aランク,18225,20500,1,https://example.invalid/kmh/107,相場サイト 直近30日中央値,2026-08-18
KMH-00108,中古 ゲームソフト 人気タイトル #66,NINTENDO,ゲームソフト,HAC-GEN-66,,,Bランク,8038,10800,1,https://example.invalid/kmh/108,,
KMH-00109,中古 家庭用ゲーム機 旧型 #67,SONY,ゲーム機,CUH-2200-67,,,Sランク,18350,24500,1,https://example.invalid/kmh/109,,
KMH-00110,中古 タブレット 10型 #68,LENOVO,タブレット,TB-J606-68,,,Cランク,21550,24000,1,https://example.invalid/kmh/110,,
KMH-00111,中古 スマートウォッチ #69,GARMIN,時計,FR-255-69,,,Aランク,19390,24000,1,https://example.invalid/kmh/111,相場サイト 直近30日中央値,2026-08-18
KMH-00112,中古 空気清浄機 #70,PANASONIC,生活家電,F-VXR-70,,,Bランク,14350,19500,1,https://example.invalid/kmh/112,,
KMH-00113,中古 コーヒーメーカー #71,DELONGHI,生活家電,ECAM-71,,,Sランク,30100,33000,1,https://example.invalid/kmh/113,,
KMH-00114,中古 電動アシスト自転車 バッテリー #72,YAMAHA,その他,X0T-82-72,,,Cランク,18960,23500,1,https://example.invalid/kmh/114,,
KMH-00115,中古 プロジェクター 小型 #73,EPSON,家電,EF-12-73,,,Aランク,29925,43000,4,https://example.invalid/kmh/115,相場サイト 直近30日中央値,2026-08-18
KMH-00116,中古 マイク コンデンサー #74,AUDIOTECHNICA,オーディオ,AT2020-74,,,Bランク,9485,11300,1,https://example.invalid/kmh/116,,
KMH-00117,中古 トートバッグ ナイロン #75,PRADA,バッグ,BR4001-75,,,Sランク,42750,55000,1,https://example.invalid/kmh/117,,
KMH-00118,中古 ノートパソコン 15型 #76,NEC,家電,PC-GN-76,,,Cランク,23688,37500,1,https://example.invalid/kmh/118,,
KMH-00119,中古 電子レンジ #77,SHARP,生活家電,RE-SS-77,,,Aランク,12510,16000,1,https://example.invalid/kmh/119,相場サイト 直近30日中央値,2026-08-18
KMH-00120,中古 掃除機 コードレス #78,DYSON,生活家電,V8-78,,,Bランク,22975,25500,1,https://example.invalid/kmh/120,,
KMH-00121,中古 炊飯器 5.5合 #79,ZOJIRUSHI,生活家電,NP-BK-79,,,Sランク,14750,20000,1,https://example.invalid/kmh/121,,
KMH-00122,中古 液晶モニタ 24型 #80,IODATA,家電,LCD-MF-80,,,Cランク,14425,16500,1,https://example.invalid/kmh/122,,
KMH-00123,中古 コンパクトデジタルカメラ #81,CANON,カメラ,IXY650-81,,,Aランク,13950,19000,1,https://example.invalid/kmh/123,相場サイト 直近30日中央値,2026-08-18
KMH-00124,中古 ミラーレス標準ズームレンズ #82,NIKON,カメラ,NIKKOR-Z-82,,,Bランク,28420,34500,4,https://example.invalid/kmh/124,,
KMH-00125,中古 ブルートゥーススピーカー #83,JBL,オーディオ,FLIP6-83,,,Sランク,13950,16000,1,https://example.invalid/kmh/125,,
KMH-00126,中古 腕時計 ソーラー電波 #84,CASIO,時計,OCW-S-84,,,Cランク,41550,53500,1,https://example.invalid/kmh/126,,
KMH-00127,中古 ダウンジャケット #85,UNIQLO,アパレル,DWN-01-85,,,Aランク,10340,12200,1,https://example.invalid/kmh/127,相場サイト 直近30日中央値,2026-08-18
KMH-00128,中古 ランニングシューズ #86,ASICS,スニーカー,GEL-KAYANO-86,,,Bランク,6146,8600,1,https://example.invalid/kmh/128,,
KMH-00129,中古 ビジネスバッグ 本革 #87,PORTER,バッグ,PT-BIZ-87,,,Sランク,13550,18500,1,https://example.invalid/kmh/129,,
KMH-00130,中古 二つ折り財布 #88,COACH,財布,CH-W2-88,,,Cランク,9010,10800,1,https://example.invalid/kmh/130,,
KMH-00131,中古 アコースティックギター #89,YAMAHA,楽器,FG830-89,,,Aランク,22400,27500,1,https://example.invalid/kmh/131,相場サイト 直近30日中央値,2026-08-18
KMH-00132,中古 キーボード 61鍵 #90,CASIO,楽器,CT-S300-90,,,Bランク,11550,16000,1,https://example.invalid/kmh/132,,
KMH-00133,中古 ゲームソフト 人気タイトル #91,NINTENDO,ゲームソフト,HAC-GEN-91,,,Sランク,4735,6300,4,https://example.invalid/kmh/133,,
KMH-00134,中古 家庭用ゲーム機 旧型 #92,SONY,ゲーム機,CUH-2200-92,,,Cランク,15950,20000,1,https://example.invalid/kmh/134,,
KMH-00135,中古 タブレット 10型 #93,LENOVO,タブレット,TB-J606-93,,,Aランク,12888,19500,1,https://example.invalid/kmh/135,相場サイト 直近30日中央値,2026-08-18
KMH-00136,中古 スマートウォッチ #94,GARMIN,時計,FR-255-94,,,Bランク,25350,28000,1,https://example.invalid/kmh/136,,
KMH-00137,中古 空気清浄機 #95,PANASONIC,生活家電,F-VXR-95,,,Sランク,17550,23500,1,https://example.invalid/kmh/137,,
KMH-00138,中古 コーヒーメーカー #96,DELONGHI,生活家電,ECAM-96,,,Cランク,23355,37000,1,https://example.invalid/kmh/138,,
KMH-00139,中古 電動アシスト自転車 バッテリー #97,YAMAHA,その他,X0T-82-97,,,Aランク,22400,27500,1,https://example.invalid/kmh/139,相場サイト 直近30日中央値,2026-08-18
KMH-00140,中古 プロジェクター 小型 #98,EPSON,家電,EF-12-98,,,Bランク,43400,47000,1,https://example.invalid/kmh/140,,
KMH-00141,中古 マイク コンデンサー #99,AUDIOTECHNICA,オーディオ,AT2020-99,,,Sランク,10990,15300,1,https://example.invalid/kmh/141,,
KMH-00142,中古 トートバッグ ナイロン #100,PRADA,バッグ,BR4001-100,,,Cランク,54800,59000,4,https://example.invalid/kmh/142,,
KMH-00143,中古 ノートパソコン 15型 #101,NEC,家電,PC-GN-101,,,Aランク,31950,41500,1,https://example.invalid/kmh/143,相場サイト 直近30日中央値,2026-08-18
KMH-00144,中古 電子レンジ #102,SHARP,生活家電,RE-SS-102,,,Bランク,15950,20000,1,https://example.invalid/kmh/144,,
KMH-00145,中古 掃除機 コードレス #103,DYSON,生活家電,V8-103,,,Sランク,18700,21000,1,https://example.invalid/kmh/145,,
KMH-00146,中古 炊飯器 5.5合 #104,ZOJIRUSHI,生活家電,NP-BK-104,,,Cランク,11150,15500,1,https://example.invalid/kmh/146,,
KMH-00147,中古 液晶モニタ 24型 #105,IODATA,家電,LCD-MF-105,,,Aランク,10150,12000,1,https://example.invalid/kmh/147,相場サイト 直近30日中央値,2026-08-18
KMH-00148,中古 コンパクトデジタルカメラ #106,CANON,カメラ,IXY650-106,,,Bランク,11220,14500,1,https://example.invalid/kmh/148,,
KMH-00149,中古 ミラーレス標準ズームレンズ #107,NIKON,カメラ,NIKKOR-Z-107,,,Sランク,22750,30000,1,https://example.invalid/kmh/149,,
KMH-00150,中古 ブルートゥーススピーカー #108,JBL,オーディオ,FLIP6-108,,,Cランク,9675,11500,1,https://example.invalid/kmh/150,,
KMH-00151,中古 腕時計 ソーラー電波 #109,CASIO,時計,OCW-S-109,,,Aランク,40890,49000,4,https://example.invalid/kmh/151,相場サイト 直近30日中央値,2026-08-18
KMH-00152,中古 ダウンジャケット #110,UNIQLO,アパレル,DWN-01-110,,,Bランク,4910,7700,1,https://example.invalid/kmh/152,,
KMH-00153,中古 ランニングシューズ #111,ASICS,スニーカー,GEL-KAYANO-111,,,Sランク,10720,12600,1,https://example.invalid/kmh/153,,
KMH-00154,中古 ビジネスバッグ 本革 #112,PORTER,バッグ,PT-BIZ-112,,,Cランク,18100,22500,1,https://example.invalid/kmh/154,,
KMH-00155,中古 二つ折り財布 #113,COACH,財布,CH-W2-113,,,Aランク,9480,14800,1,https://example.invalid/kmh/155,相場サイト 直近30日中央値,2026-08-18
KMH-00156,中古 アコースティックギター #114,YAMAHA,楽器,FG830-114,,,Bランク,28675,31500,1,https://example.invalid/kmh/156,,
KMH-00157,中古 キーボード 61鍵 #115,CASIO,楽器,CT-S300-115,,,Sランク,14750,20000,1,https://example.invalid/kmh/157,,
KMH-00158,中古 ゲームソフト 人気タイトル #116,NINTENDO,ゲームソフト,HAC-GEN-116,,,Cランク,5600,10300,1,https://example.invalid/kmh/158,,
KMH-00159,中古 家庭用ゲーム機 旧型 #117,SONY,ゲーム機,CUH-2200-117,,,Aランク,19390,24000,1,https://example.invalid/kmh/159,相場サイト 直近30日中央値,2026-08-18
KMH-00160,中古 タブレット 10型 #118,LENOVO,タブレット,TB-J606-118,,,Bランク,21075,23500,4,https://example.invalid/kmh/160,,
KMH-00161,中古 スマートウォッチ #119,GARMIN,時計,FR-255-119,,,Sランク,24350,32000,1,https://example.invalid/kmh/161,,
KMH-00162,中古 空気清浄機 #120,PANASONIC,生活家電,F-VXR-120,,,Cランク,16800,19000,1,https://example.invalid/kmh/162,,
KMH-00163,中古 コーヒーメーカー #121,DELONGHI,生活家電,ECAM-121,,,Aランク,24750,32500,1,https://example.invalid/kmh/163,相場サイト 直近30日中央値,2026-08-18
KMH-00164,中古 電動アシスト自転車 バッテリー #122,YAMAHA,その他,X0T-82-122,,,Bランク,18530,23000,1,https://example.invalid/kmh/164,,
KMH-00165,中古 プロジェクター 小型 #123,EPSON,家電,EF-12-123,,,Sランク,39125,42500,1,https://example.invalid/kmh/165,,
KMH-00166,中古 マイク コンデンサー #124,AUDIOTECHNICA,オーディオ,AT2020-124,,,Cランク,7390,10800,1,https://example.invalid/kmh/166,,
KMH-00167,中古 トートバッグ ナイロン #125,PRADA,バッグ,BR4001-125,,,Aランク,50525,54500,1,https://example.invalid/kmh/167,相場サイト 直近30日中央値,2026-08-18
